year,geography,area_fips,area_title,industry_code,industry_title,own_code,own_title,agglvl_code,disclosure_code,annual_avg_estabs,annual_avg_emplvl,total_annual_wages,annual_avg_wkly_wage,avg_annual_pay
2023,US_national,US000,U.S. TOTAL,7111,NAICS 7111 Performing arts companies,3,Local Government,16,,13,593,24299588,788,40966
2024,US_national,US000,U.S. TOTAL,7111,NAICS 7111 Performing arts companies,3,Local Government,16,,13,612,25668040,807,41970
2025,US_national,US000,U.S. TOTAL,7111,NAICS 7111 Performing arts companies,3,Local Government,16,,13,606,26157496,830,43170
2001,US_national,US000,U.S. TOTAL,7111,Performing arts companies,5,Private,16,,10687,126879,3761663013,570,29648
2002,US_national,US000,U.S. TOTAL,7111,Performing arts companies,5,Private,16,,10350,121708,3674342776,581,30190
2003,US_national,US000,U.S. TOTAL,7111,Performing arts companies,5,Private,16,,10055,120040,4020647209,644,33494
2004,US_national,US000,U.S. TOTAL,7111,Performing arts companies,5,Private,16,,9771,117430,4026836134,659,34291
2005,US_national,US000,U.S. TOTAL,7111,Performing arts companies,5,Private,16,,9657,113831,4041883040,683,35508
2006,US_national,US000,U.S. TOTAL,7111,Performing arts companies,5,Private,16,,9642,114577,4463371160,749,38955
2007,US_national,US000,U.S. TOTAL,7111,Performing arts companies,5,Private,16,,9712,115350,4629406208,772,40134
2008,US_national,US000,U.S. TOTAL,7111,Performing arts companies,5,Private,16,,9887,117115,5000238722,821,42695
2009,US_national,US000,U.S. TOTAL,7111,Performing arts companies,5,Private,16,,9899,110663,4504127637,783,40701
2010,US_national,US000,U.S. TOTAL,7111,Performing arts companies,5,Private,16,,9763,109221,4523624598,796,41417
2011,US_national,US000,U.S. TOTAL,7111,Performing arts companies,5,Private,16,,9672,110444,4684809142,816,42418
2012,US_national,US000,U.S. TOTAL,7111,Performing arts companies,5,Private,16,,9643,111262,4847851845,838,43572
2013,US_national,US000,U.S. TOTAL,7111,Performing arts companies,5,Private,16,,9715,112342,5073411529,868,45160
2014,US_national,US000,U.S. TOTAL,7111,Performing arts companies,5,Private,16,,9839,114851,5176582450,867,45072
2015,US_national,US000,U.S. TOTAL,7111,Performing arts companies,5,Private,16,,9907,117547,5658992822,926,48142
2016,US_national,US000,U.S. TOTAL,7111,NAICS 7111 Performing arts companies,5,Private,16,,9978,120508,5838851336,932,48452
2017,US_national,US000,U.S. TOTAL,7111,NAICS 7111 Performing arts companies,5,Private,16,,10026,122891,6088098827,953,49541
2018,US_national,US000,U.S. TOTAL,7111,NAICS 7111 Performing arts companies,5,Private,16,,10315,126498,6497076970,988,51361
2019,US_national,US000,U.S. TOTAL,7111,NAICS 7111 Performing arts companies,5,Private,16,,10608,129274,6687955377,995,51735
2020,US_national,US000,U.S. TOTAL,7111,NAICS 7111 Performing arts companies,5,Private,16,,10886,77991,4010146820,989,51418
2021,US_national,US000,U.S. TOTAL,7111,NAICS 7111 Performing arts companies,5,Private,16,,11071,85942,4849220303,1085,56425
2022,US_national,US000,U.S. TOTAL,7111,NAICS 7111 Performing arts companies,5,Private,16,,11922,122440,7019914311,1103,57333
2023,US_national,US000,U.S. TOTAL,7111,NAICS 7111 Performing arts companies,5,Private,16,,12649,129206,7928888572,1180,61366
2024,US_national,US000,U.S. TOTAL,7111,NAICS 7111 Performing arts companies,5,Private,16,,13132,134126,8102986963,1162,60413
2025,US_national,US000,U.S. TOTAL,7111,NAICS 7111 Performing arts companies,5,Private,16,,13347,133422,7498730841,1081,56203
2001,Austin_RoundRock_MSA,C1242,"Austin-Round Rock, TX MSA",71113,Musical groups and artists,5,Private,47,N,0,0,0,0,0
