SERIALNO,SPORDER,PUMA,ST,ADJINC,PWGTP,AGEP,COW,MAR,SCHL,SEMP,SEX,WAGP,WKHP,WKWN,ESR,HICOV,HISP,OCCP,PERNP,PINCP,PRIVCOV,PUBCOV,RAC1P,occp_label
2021HU0835277,01,05203,48,1193241,16,54,2,1,21,0,2,0,,,6.0,1,01,2700.0,0,0,1,2,9,Actors
2021HU0835419,03,02006,48,1193241,22,30,2,5,21,0,1,15000,38,52,1.0,1,02,2905.0,15000,17000,1,2,9,"Other Media and Communication Equipment Workers (broadcast/sound/AV/lighting techs, combined - PUMS does not separately identify 'sound engineering technician')"
2021HU0835778,01,02314,48,1193241,34,46,6,5,19,24000,1,0,50,52,1.0,1,02,2710.0,24000,24000,1,1,9,Producers and Directors
2021HU0838850,02,05305,48,1193241,17,32,1,5,21,0,1,37000,40,52,1.0,1,01,2634.0,37000,37000,1,2,1,Graphic Designers
2021HU0838869,02,01904,48,1193241,35,27,6,5,18,20000,2,0,30,52,1.0,2,01,2910.0,20000,20000,2,2,1,Photographers
2021HU0842647,01,04609,48,1193241,9,36,6,5,19,8000,1,0,98,5,3.0,2,01,2910.0,8000,28000,2,2,1,Photographers
2021HU0843454,01,05201,48,1193241,11,34,1,1,19,15000,2,1000,25,52,1.0,1,01,2850.0,16000,16000,1,2,2,Writers and Authors
2021HU0843706,01,04615,48,1193241,15,59,6,5,21,1500,1,0,40,2,6.0,2,01,2905.0,1500,1500,2,2,1,"Other Media and Communication Equipment Workers (broadcast/sound/AV/lighting techs, combined - PUMS does not separately identify 'sound engineering technician')"
2021HU0847482,01,04627,48,1193241,129,27,6,1,21,30000,1,0,40,52,1.0,1,01,2910.0,30000,30000,1,2,2,Photographers
2021HU0847554,01,05914,48,1193241,25,42,6,1,19,12000,1,12000,40,52,1.0,1,01,2910.0,24000,78000,1,2,1,Photographers
2021HU0847663,01,02002,48,1193241,14,62,1,5,21,0,1,0,,,6.0,1,01,2850.0,0,40000,1,2,1,Writers and Authors
2021HU0848886,02,05915,48,1193241,15,30,6,5,19,23000,2,0,40,24,2.0,1,01,2905.0,23000,26000,1,2,1,"Other Media and Communication Equipment Workers (broadcast/sound/AV/lighting techs, combined - PUMS does not separately identify 'sound engineering technician')"
2021HU0851340,02,02600,48,1193241,14,60,1,1,21,0,1,20000,50,17,3.0,1,01,2910.0,20000,65000,1,2,1,Photographers
2021HU0852405,01,05304,48,1193241,52,23,2,5,21,0,2,19000,40,52,1.0,1,01,2710.0,19000,19000,1,2,6,Producers and Directors
2021HU0855765,01,02514,48,1193241,10,33,6,5,19,50000,2,0,40,52,1.0,1,01,2910.0,50000,50000,1,2,1,Photographers
2021HU0856094,01,06805,48,1193241,19,46,6,3,16,12000,2,0,25,20,1.0,2,02,2740.0,12000,12000,2,2,8,Dancers and Choreographers
2021HU0856466,02,04614,48,1193241,10,67,6,1,21,2000,1,0,2,2,1.0,1,01,2752.0,2000,19600,2,1,1,Musicians and Singers
2021HU0857206,01,02511,48,1193241,10,48,1,1,21,0,2,66000,40,52,1.0,2,01,2910.0,66000,74000,2,2,1,Photographers
2021HU0858663,02,00100,48,1193241,2,63,6,1,19,0,2,0,,,6.0,1,01,2910.0,0,4000,1,2,1,Photographers
2021HU0860047,02,07200,48,1193241,7,71,2,1,21,0,2,13000,20,52,1.0,1,01,2751.0,13000,14000,1,2,1,Music Directors and Composers
2021HU0860843,01,02306,48,1193241,17,53,1,3,22,0,2,0,,,6.0,1,01,2850.0,0,48000,1,2,1,Writers and Authors
2021HU0865122,01,04612,48,1193241,2,68,6,1,21,3000,1,0,23,1,6.0,1,01,2910.0,3000,27000,2,1,1,Photographers
2021HU0865420,02,05204,48,1193241,13,56,6,1,22,40000,2,0,40,48,1.0,1,01,2634.0,40000,40000,1,2,1,Graphic Designers
2021HU0866488,01,05201,48,1193241,34,28,1,1,21,0,2,7000,10,44,1.0,1,02,2850.0,7000,7000,1,2,9,Writers and Authors
2021HU0868542,02,03000,48,1193241,21,24,1,5,16,0,1,12000,40,52,1.0,1,01,2905.0,12000,12000,1,1,1,"Other Media and Communication Equipment Workers (broadcast/sound/AV/lighting techs, combined - PUMS does not separately identify 'sound engineering technician')"
2021HU0868720,01,01907,48,1193241,21,31,2,1,22,0,2,0,,,6.0,1,01,2710.0,0,0,1,2,1,Producers and Directors
2021HU0869088,01,05909,48,1193241,46,31,6,5,20,16000,1,0,40,52,1.0,1,02,2905.0,16000,16000,1,2,9,"Other Media and Communication Equipment Workers (broadcast/sound/AV/lighting techs, combined - PUMS does not separately identify 'sound engineering technician')"
2021HU0870749,01,04629,48,1193241,17,30,5,1,21,0,2,75000,40,52,1.0,1,01,2634.0,75000,75000,1,2,1,Graphic Designers
